stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\franc\source\repos\Dravok\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\franc\source\repos\Dravok\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.11
dtor     D               dtor.c:196  _al_register_destructor          [   0.00057] added dtor for bitmap 000001F272D258F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00128] added dtor for bitmap 000001F272D25C70, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00381] added dtor for bitmap 000001F272D25E60, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00393] added dtor for sub_bitmap 000001F272D45AC0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00395] added dtor for sub_bitmap 000001F272DB7620, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00397] added dtor for sub_bitmap 000001F272DB8820, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00399] added dtor for sub_bitmap 000001F272DB8A10, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00401] added dtor for sub_bitmap 000001F272DB8C00, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00402] added dtor for sub_bitmap 000001F272DB8DF0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00404] added dtor for sub_bitmap 000001F272DB8FE0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00406] added dtor for sub_bitmap 000001F272DB91D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00408] added dtor for sub_bitmap 000001F272DB93C0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00410] added dtor for sub_bitmap 000001F272DB95B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00411] added dtor for sub_bitmap 000001F272DB97A0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00413] added dtor for sub_bitmap 000001F272DB9990, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00415] added dtor for sub_bitmap 000001F272DB9B80, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00417] added dtor for sub_bitmap 000001F272DB9D70, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00419] added dtor for sub_bitmap 000001F272DB9FB0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00420] added dtor for sub_bitmap 000001F272DBA1A0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00422] added dtor for sub_bitmap 000001F272DBA390, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00424] added dtor for sub_bitmap 000001F272DBA580, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00425] added dtor for sub_bitmap 000001F272DBA770, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00427] added dtor for sub_bitmap 000001F272DBAB50, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00435] added dtor for sub_bitmap 000001F272DBA960, func 00007FFF473D12CB
